phi;fraction;thickness;depth;location
0.162;0.0;0.07;2.1;540.0
0.328;0.0;0.07;2.1;540.0
0.494;0.0;0.07;2.1;540.0
0.66;0.0;0.07;2.1;540.0
0.827;0.0;0.07;2.1;540.0
0.993;0.0;0.07;2.1;540.0
1.159;0.05998800239952009;0.07;2.1;540.0
1.325;0.7498500299940011;0.07;2.1;540.0
1.491;2.629474105178964;0.07;2.1;540.0
1.657;3.8692261547690463;0.07;2.1;540.0
1.823;5.258948210357928;0.07;2.1;540.0
1.989;6.65866826634673;0.07;2.1;540.0
2.155;7.838432313537291;0.07;2.1;540.0
2.321;8.708258348330332;0.07;2.1;540.0
2.488;9.128174365126975;0.07;2.1;540.0
2.654;9.038192361527694;0.07;2.1;540.0
2.82;8.458308338332333;0.07;2.1;540.0
2.986;7.478504299140172;0.07;2.1;540.0
3.152;6.218756248750249;0.07;2.1;540.0
3.318;4.849030193961207;0.07;2.1;540.0
3.484;3.509298140371925;0.07;2.1;540.0
3.65;2.3395320935812833;0.07;2.1;540.0
3.816;1.4097180563887222;0.07;2.1;540.0
3.982;0.7598480303939212;0.07;2.1;540.0
4.148;0.3899220155968806;0.07;2.1;540.0
4.315;0.23995200959808036;0.07;2.1;540.0
4.481;0.24995000999800038;0.07;2.1;540.0
4.647;0.36992601479704057;0.07;2.1;540.0
4.813;0.5198960207958409;0.07;2.1;540.0
4.979;0.6498700259948009;0.07;2.1;540.0
5.145;0.7398520295940811;0.07;2.1;540.0
5.311;0.7798440311937612;0.07;2.1;540.0
5.477;0.7698460307938412;0.07;2.1;540.0
5.643;0.709858028394321;0.07;2.1;540.0
5.809;0.619876024795041;0.07;2.1;540.0
5.976;0.5298940211957608;0.07;2.1;540.0
6.142;0.43991201759648063;0.07;2.1;540.0
6.308;0.3599280143971205;0.07;2.1;540.0
6.474;0.29994001199760045;0.07;2.1;540.0
6.64;0.24995000999800038;0.07;2.1;540.0
6.806;0.22995400919816034;0.07;2.1;540.0
6.972;0.21995600879824032;0.07;2.1;540.0
7.138;0.2099580083983203;0.07;2.1;540.0
7.304;0.2099580083983203;0.07;2.1;540.0
7.47;0.2099580083983203;0.07;2.1;540.0
7.636;0.2099580083983203;0.07;2.1;540.0
7.803;0.19996000799840033;0.07;2.1;540.0
7.969;0.1899620075984803;0.07;2.1;540.0
8.135;0.16996600679864027;0.07;2.1;540.0
8.301;0.15996800639872025;0.07;2.1;540.0
8.467;0.13997200559888023;0.07;2.1;540.0
8.633;0.11997600479904018;0.07;2.1;540.0
8.799;0.09998000399920016;0.07;2.1;540.0
8.965;0.07998400319936012;0.07;2.1;540.0
9.131;0.06998600279944012;0.07;2.1;540.0
9.297;0.05998800239952009;0.07;2.1;540.0
9.463;0.04999000199960008;0.07;2.1;540.0
9.63;0.04999000199960008;0.07;2.1;540.0
9.795;0.04999000199960008;0.07;2.1;540.0
9.962;0.05998800239952009;0.07;2.1;540.0
10.129;0.05998800239952009;0.07;2.1;540.0
10.294;0.06998600279944012;0.07;2.1;540.0
10.459;0.06998600279944012;0.07;2.1;540.0
10.627;0.05998800239952009;0.07;2.1;540.0
10.792;0.05998800239952009;0.07;2.1;540.0
10.96;0.009998000399920015;0.07;2.1;540.0
